,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,67,KI,1612048770,77,3.0707,172.7902,81.16,17.87
1,tasiilaq,90,GL,1612048770,35,65.6145,-37.6368,21.2,17.27
2,hermanus,3,ZA,1612048771,86,-34.4187,19.2345,66.99,9.48
3,bilma,17,NE,1612048771,30,18.6853,12.9164,58.64,3.58
4,huarmey,66,PE,1612048771,70,-10.0681,-78.1522,73.78,10.63
5,nanortalik,100,GL,1612048771,90,60.1432,-45.2371,30.04,9.1
6,marawi,86,PH,1612048771,90,7.9986,124.2928,75.99,4.0
7,svetlogorsk,100,BY,1612048771,98,52.6333,29.7333,23.29,4.88
8,klaksvik,75,FO,1612048606,75,62.2266,-6.589,33.8,20.71
9,ushuaia,20,AR,1612048631,62,-54.8,-68.3,51.8,24.16
10,rikitea,22,PF,1612048772,74,-23.1203,-134.9692,79.12,12.33
11,kahului,40,US,1612048772,57,20.8947,-156.47,78.8,18.41
12,flin flon,90,FR,1612048772,100,48.4982,6.6557,44.6,12.66
13,narrabri,40,AU,1612048772,42,-30.3167,149.7833,84.2,9.22
14,makuyuni,100,TZ,1612048772,75,-4.7333,38.1,71.98,2.15
15,saldanha,0,ZA,1612048772,91,-33.0117,17.9442,64.69,5.06
16,albany,14,US,1612048535,56,42.6001,-73.9662,18.0,8.01
17,kaitangata,86,NZ,1612048773,81,-46.2817,169.8464,61.0,15.01
18,provideniya,77,RU,1612048631,83,64.3833,-173.3,-11.83,12.15
19,makinsk,99,KZ,1612048773,90,52.6292,70.4169,15.49,8.21
20,georgetown,20,MY,1612048731,83,5.4112,100.3354,77.0,7.14
21,tuktoyaktuk,40,CA,1612048773,67,69.4541,-133.0374,-34.6,2.3
22,jamestown,1,US,1612048774,73,42.097,-79.2353,18.0,1.63
23,mahebourg,40,MU,1612048774,89,-20.4081,57.7,78.8,3.44
24,cape town,75,CL,1612048774,60,-36.413,-71.9028,73.4,10.36
25,kodiak,1,US,1612048774,55,57.79,-152.4072,33.8,24.16
26,reconquista,86,AR,1612048774,91,-29.15,-59.65,75.83,4.63
27,caravelas,0,BR,1612048775,81,-17.7125,-39.2481,76.89,7.11
28,shimoda,20,JP,1612048775,81,34.6667,138.95,42.8,2.3
29,salalah,0,OM,1612048775,64,17.0151,54.0924,68.0,5.75
30,vaini,75,TO,1612048775,84,-21.2,-175.2,84.2,11.5
31,qaanaaq,94,GL,1612048775,72,77.484,-69.3632,-5.91,2.48
32,bhuban,0,IN,1612048775,68,20.8833,85.8333,59.16,2.55
33,zelenoborskiy,100,RU,1612048775,96,66.845,32.3622,10.99,3.98
34,rabat,90,MA,1612048527,100,33.9911,-6.8401,57.99,3.44
35,alekseyevka,100,RU,1612048776,97,50.6309,38.6903,35.83,21.14
36,atuona,21,PF,1612048776,74,-9.8,-139.0333,79.23,18.54
37,taoudenni,0,ML,1612048776,22,22.6783,-3.9836,69.51,10.74
38,esperance,0,AU,1612048776,77,-33.8667,121.9,62.6,12.66
39,mar del plata,75,ES,1612048776,71,43.4002,-4.0094,54.0,31.07
40,puerto ayora,20,ES,1612048776,77,36.5939,-6.233,57.2,8.05
41,uppsala,90,SE,1612048777,92,60.0,17.75,12.2,8.05
42,busselton,0,AU,1612048777,74,-33.65,115.3333,66.99,1.01
43,povenets,99,RU,1612048777,97,62.8487,34.8262,15.93,5.5
44,wajid,0,SO,1612048777,71,3.8093,43.2471,69.3,16.06
45,hasaki,20,JP,1612048777,64,35.7333,140.8333,33.8,4.61
46,mataura,90,NZ,1612048777,44,-46.1927,168.8643,66.97,2.44
47,hami,0,CN,1612048778,85,42.8,93.45,20.89,3.44
48,porto novo,75,PT,1612048566,82,41.1496,-8.611,55.4,9.22
49,khipro,0,PK,1612048778,43,25.8285,69.3772,56.08,6.91
50,cairo,0,EG,1612048527,39,30.0626,31.2497,60.8,20.71
51,pyaozerskiy,100,RU,1612048778,96,65.8333,31.1667,10.9,5.7
52,kutum,0,SD,1612048778,36,14.2,24.6667,53.46,5.32
53,barrow,90,US,1612048778,70,71.2906,-156.7887,-11.2,9.22
54,arkhangelsk,90,RU,1612048779,93,64.5401,40.5433,23.0,6.71
55,arraial do cabo,20,BR,1612048779,61,-22.8362,-46.646,82.4,9.22
56,iqaluit,1,CA,1612048660,77,63.7506,-68.5145,-9.0,19.57
57,avarua,75,CK,1612048779,83,-21.2078,-159.775,80.6,5.75
58,birao,0,CF,1612048779,21,10.2849,22.7882,71.51,7.85
59,ponta do sol,70,PT,1612048779,100,38.7333,-28.2667,57.99,25.77
60,carnarvon,15,AU,1612048780,94,-24.8667,113.6333,80.6,5.75
61,leningradskiy,0,RU,1612048618,81,69.3833,178.4167,-27.51,3.24
62,durham,75,US,1612048780,41,36.0335,-78.8664,39.99,8.05
63,bandarbeyla,27,SO,1612048780,75,9.4942,50.8122,73.15,14.16
64,codrington,93,AU,1612048780,65,-38.2667,141.9667,61.52,7.29
65,adrar,48,MR,1612048780,23,20.5022,-10.0711,67.73,7.99
66,hammond,90,US,1612048539,93,41.5834,-87.5,30.2,16.11
67,itapolis,76,BR,1612048781,62,-21.5956,-48.8128,79.02,3.67
68,port elizabeth,78,CD,1612048781,66,-7.0349,29.7638,72.18,5.57
69,thompson,90,CA,1612048505,92,55.7435,-97.8558,14.0,2.3
70,aksarka,100,RU,1612048781,87,66.5606,67.7975,-18.47,11.01
71,zyryanka,100,RU,1612048782,83,65.75,150.85,-32.22,12.46
72,portland,90,US,1612048663,81,45.5234,-122.6762,50.0,16.11
73,corinth,1,GR,1612048782,56,37.9407,22.9573,46.99,1.99
74,manokwari,100,ID,1612048782,82,-0.8667,134.0833,78.71,14.45
75,dubbo,23,AU,1612048782,54,-32.25,148.6167,82.4,6.91
76,jalu,0,LY,1612048782,42,29.0331,21.5482,60.46,10.98
77,lebu,2,CL,1612048783,77,-37.6167,-73.65,59.4,12.82
78,little current,1,US,1612048783,27,35.3481,-96.672,66.99,11.5
79,hilo,1,US,1612048783,57,19.7297,-155.09,80.6,6.91
80,new norfolk,75,LR,1612048783,94,6.6518,-10.5932,77.0,2.71
81,tual,83,ID,1612048784,74,-5.6667,132.75,83.75,13.04
82,bundaberg,40,AU,1612048784,61,-24.85,152.35,84.99,16.11
83,cabo san lucas,40,BR,1612048784,69,-8.2833,-35.0333,78.8,9.22
84,seydi,93,TM,1612048784,51,39.4816,62.9137,47.73,4.5
85,qasigiannguit,90,GL,1612048604,66,68.8193,-51.1922,6.8,6.91
86,shanhetun,33,CN,1612048784,83,44.7,127.2,-12.96,4.81
87,ketchikan,90,US,1612048784,87,55.3422,-131.6461,37.4,3.44
88,egvekinot,0,RU,1612048785,83,66.3167,-179.1667,-24.32,10.87
89,hithadhoo,63,MV,1612048785,80,-0.6,73.0833,81.55,15.95
90,norman wells,1,US,1612048644,37,35.2226,-97.4395,66.2,18.41
91,grindavik,0,IS,1612048785,68,63.8424,-22.4338,21.2,8.05
92,cherskiy,3,RU,1612048785,83,68.75,161.3,-37.19,1.7
93,lundazi,100,ZM,1612048785,88,-12.2929,33.1782,65.1,3.0
94,kruisfontein,1,ZA,1612048786,87,-34.0033,24.7314,61.0,2.39
95,hohoe,71,GH,1612048736,72,7.1518,0.4736,79.99,4.9
